[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T16:49:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004218s ]
[2025-08-05T16:49:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004233s ]
[2025-08-05T16:50:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004110s ]
[2025-08-05T16:50:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T16:51:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004181s ]
[2025-08-05T16:51:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004115s ]
[2025-08-05T16:52:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004200s ]
[2025-08-05T16:52:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004125s ]
[2025-08-05T16:53:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004164s ]
[2025-08-05T16:53:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004236s ]
[2025-08-05T16:54:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004151s ]
[2025-08-05T16:54:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004160s ]
[2025-08-05T16:55:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004207s ]
[2025-08-05T16:55:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004242s ]
[2025-08-05T16:56:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004181s ]
[2025-08-05T16:56:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004205s ]
[2025-08-05T16:57:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004177s ]
[2025-08-05T16:57:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004211s ]
[2025-08-05T16:58:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004123s ]
[2025-08-05T16:58:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004150s ]
[2025-08-05T16:59:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004113s ]
[2025-08-05T16:59:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004182s ]
[2025-08-05T17:00:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004163s ]
[2025-08-05T17:00:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004199s ]
[2025-08-05T17:01:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T17:01:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004170s ]
[2025-08-05T17:02:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004237s ]
[2025-08-05T17:02:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004164s ]
[2025-08-05T17:03:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004099s ]
[2025-08-05T17:03:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004213s ]
[2025-08-05T17:04:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004179s ]
[2025-08-05T17:04:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004218s ]
[2025-08-05T17:05:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004183s ]
[2025-08-05T17:05:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004126s ]
[2025-08-05T17:06:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004153s ]
[2025-08-05T17:06:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004162s ]
[2025-08-05T17:07:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004158s ]
[2025-08-05T17:07:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T17:08:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004170s ]
[2025-08-05T17:08:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004141s ]
[2025-08-05T17:09:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004134s ]
[2025-08-05T17:09:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004169s ]
[2025-08-05T17:10:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004174s ]
